,Sentence,label,transliterated
10,E tara film ge ella kaitaididdu.... Welcooome..... Item song iro,Not_offensive,{'kn': 'ಏ ತಾರಾ ಫಿಲ್ಮ್ ಗೆ ಎಲ್ಲಾ ಕೈತಿದಿದ್ದು.... ವೆಲ್ಕೋಮ್..... ಇಟೇಮ್ ಸಾಂಗ್ ಇರೋ'}
11,Super  guru 🥰,Not_offensive,{'kn': 'ಸೂಪರ್ ಗುರು 🥰'}
12,Different aagide song... n,Not_offensive,{'kn': 'ಡಿಫ್ಯರೆಂಟ್ ಆಗಿದೆ ಸಾಂಗ್... ನ್'}
13,D BOOS FANS ALL THE BEST,not-Kannada,{'kn': 'ಡ್ ಬೋಸ್ ಫ್ಯಾನ್ಸ್ ಆಲ ದ ಬೆಸ್ಟ್'}
14,ನಿಜವಾಗಿಯೂ  ಅದ್ಭುತ heartly heltidini... plz avrigella namma nimmellara supprt beku,Not_offensive,{'kn': 'ನಿಜವಾಗಿಯೂ ಅದ್ಭುತ ಹಾರ್ಟ್ಲಿ ಹೆಲ್ತಿಡಿನಿ... ಪಿಜಿ ಅವರಿಗೆಲ್ಲ ನಮ್ಮ ನಿಮ್ಮೆಲ್ಲರ ಸುಪ್ರ್ಟ್ ಬೇಕು'}
15,I'm speechless,Not_offensive,"{'kn': ""ಈ'ಎಮ್ ಸ್ಪೀಚ್ಲೆಸ್""}"
16,Movie was amazing!!🤩🤩,not-Kannada,{'kn': 'ಮೂವಿ ವಾಸ್ ಅಮೇಜಿಂಗ್!!🤩🤩'}
17,BLACK HEART ala,Not_offensive,{'kn': 'ಬ್ಲಾಕ್ ಹಾರ್ಟ್ ಆಲ'}
18,ಬ್ರೋ ಅವರು ಗೆ ದೇಶದ ಬಗ್ಗೆ ಅಭಿಮಾನ ಇಲ್ಲಾ ಬಿಡಿ,Offensive_Targeted_Insult_Other,{'kn': 'ಬ್ರೋ ಅವರು ಗೆ ದೇಶದ ಬಗ್ಗೆ ಅಭಿಮಾನ ಇಲ್ಲಾ ಬಿಡಿ'}
19,ಹೆಮ್ಮೆಯ ಕನ್ನಡಿಗ,Not_offensive,{'kn': 'ಹೆಮ್ಮೆಯ ಕನ್ನಡಿಗ'}
20,ಇನ್ನೊಮ್ಮೆ ಬಿಡುಗಡೆ ಮಾಡಿ ಗೆಲ್ಸೋ ಜವಾಬ್ದಾರಿ ನಮ್ಮದು....#ಮತ್ತೊಮ್ಮೆ ದಿಯಾ.,Not_offensive,{'kn': 'ಇನ್ನೊಮ್ಮೆ ಬಿಡುಗಡೆ ಮಾಡಿ ಗೆಲ್ಸೋ ಜವಾಬ್ದಾರಿ ನಮ್ಮದು....#ಮತ್ತೊಮ್ಮೆ ದಿಯಾ.'}
21,Movie supper sir,not-Kannada,{'kn': 'ಮೂವಿ ಸುಪ್ಪರ್ ಸಾರ್'}
22,Super sir keep it,not-Kannada,{'kn': 'ಸೂಪರ್ ಸಾರ್ ಕೀಪ್ ಐಟಿ'}
23,ಇನ್ನು ಕೇವಲ 1000 ಮೆಚ್ಚುಗೆಗಳು(ಲೈಕ್)  ಬೇಕಿದೆ.. ಅತಿ ಹೆಚ್ಚು ಮೆಚ್ಚುಗೆಗಳು(ಲೈಕ್)  ಪಡೆದ ಕನ್ನಡ ಚಲನಚಿತ್ರದ ದೃಶ್ಯ ಗೀತೆ (ವೀಡಿಯೊ ಹಾಡು) ಆಗಲು nಯೂಟ್ಯೂಬ್ ನಲ್ಲಿ..  nದಿನಾಂಕ,Not_offensive,{'kn': 'ಇನ್ನು ಕೇವಲ 1000 ಮೆಚ್ಚುಗೆಗಳು(ಲೈಕ್) ಬೇಕಿದೆ.. ಅತಿ ಹೆಚ್ಚು ಮೆಚ್ಚುಗೆಗಳು(ಲೈಕ್) ಪಡೆದ ಕನ್ನಡ ಚಲನಚಿತ್ರದ ದೃಶ್ಯ ಗೀತೆ (ವೀಡಿಯೊ ಹಾಡು) ಆಗಲು ನ್ಯೂಟ್ಯೂಬ್ ನಲ್ಲಿ.. ನ್ದಿನಾಂಕ'}
24,ಶ್ರೀ ಮನ್ ನಾರಾಯಣ  movie ಹಾಡು  ಕೇಳಲು  ಸುಮಧುರ...... ಡ್ಯಾನ್ಸ್  ಸೂಪರ್....   ಇದೆ,Not_offensive,{'kn': 'ಶ್ರೀ ಮನ್ ನಾರಾಯಣ ಮೂವಿ ಹಾಡು ಕೇಳಲು ಸುಮಧುರ...... ಡ್ಯಾನ್ಸ್ ಸೂಪರ್.... ಇದೆ'}
25,ದೇಶಧ್ರೋಹಿಗಳು ಡಿಸ್ ಲೈಕ್ ಮಾಡಿದರೆ ನೀವು ನಿಜವಾದ ದೇಶ ದ್ರೋಹಿಗಳು ನಾಚಿಕೆ ಆಗಬೇಕು ನಿಮ್ಮ ಜನ್ಮಕ್ಕೆ.... ಇಂತಹ ಅದ್ಭುತವಾದ ವಿಡಿಯೋ ಗಳಿಗೂ ಡಿಸ್ ಲೈಕ್  ಮಾಡಿದ್ರಲ್ಲ ನಿಮಗೆ ನಾಚಿಕೆ ಆಗಲ್ವಾ.....,Offensive_Targeted_Insult_Group,{'kn': 'ದೇಶಧ್ರೋಹಿಗಳು ಡಿಸ್ ಲೈಕ್ ಮಾಡಿದರೆ ನೀವು ನಿಜವಾದ ದೇಶ ದ್ರೋಹಿಗಳು ನಾಚಿಕೆ ಆಗಬೇಕು ನಿಮ್ಮ ಜನ್ಮಕ್ಕೆ.... ಇಂತಹ ಅದ್ಭುತವಾದ ವಿಡಿಯೋ ಗಳಿಗೂ ಡಿಸ್ ಲೈಕ್ ಮಾಡಿದ್ರಲ್ಲ ನಿಮಗೆ ನಾಚಿಕೆ ಆಗಲ್ವಾ.....'}
26,Randhawa movie 10 rating ide,Not_offensive,{'kn': 'ರಂಧವ ಮೂವಿ 10 ರೇಟಿಂಗ್ ಇದೇ'}
27,ಸೂಪರ್ ಬಗ್ರೌಂಡ್ music,Not_offensive,{'kn': 'ಸೂಪರ್ ಬಗ್ರೌಂಡ್ ಮ್ಯೂಸಿಕ್'}
28,Eno ontara chnnagide annoru like madi🤔🤔🤔🤔🤔🤔🤔🤔🤔,Not_offensive,{'kn': 'ಏನೋ ಒಂತರ ಚನ್ನಾಗಿದೆ ಅನ್ನೋರು ಲೈಕ್ ಮಾಡಿ🤔🤔🤔🤔🤔🤔🤔🤔🤔'}
29,Bindu gowda ge super agi ugididdeera,Offensive_Targeted_Insult_Individual,{'kn': 'ಬಿಂದು ಗೌಡ ಗೆ ಸೂಪರ್ ಆಗಿ ಉಗಿದಿದ್ದೇರ'}
30,Kannadadalli mado badlu hindinalli madidre superrhit agodhu,Offensive_Untargetede,{'kn': 'ಕನ್ನಡದಲ್ಲಿ ಮಾಡೋ ಬದ್ಲು ಹಿಂದಿನಲ್ಲಿ ಮಾಡಿದ್ರೆ ಸುಪರ್ರಿಟ್ ಅಗೋಧು'}
31,Rip dislikers,not-Kannada,{'kn': 'ರಿಪ್ ಡಿಸ್ಲಿಕರ್ಸ್'}
32,Namana Kudlada rakshith shetty innu orsbeku rashmikage Thu avla Janmake,Offensive_Targeted_Insult_Individual,{'kn': 'ನಮನ ಕುಡ್ಲದ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಇನ್ನು ಒರಿಕೇಕು ರಾಶ್ಮಿಕಗೆ ಥೂ ಅವ್ಲಾ ಜನ್ಮಕೆ'}
33,ಅದ್ಬುತ ಕಲೆ ಸಾಹಿತ್ಯ ಸಂಗೀತ ಗಾಯನ,Not_offensive,{'kn': 'ಅದ್ಬುತ ಕಲೆ ಸಾಹಿತ್ಯ ಸಂಗೀತ ಗಾಯನ'}
34,Yes boss e film maatea 7 sala alla 10 sala nodidru bore aagalla,Not_offensive,{'kn': 'ಯಸ್ ಬಾಸ್ ಏ ಫಿಲ್ಮ್ ಮಾತಿಯಾ 7 ಸಾಲ ಅಲ್ಲಾ 10 ಸಾಲ ನೋಡಿದ್ದು ಬೋರ್ ಆಗಲ್ಲ'}
35,@Troll Stupid Fans heno helkodthidallla  adunna helkodo munche neenu kaltho henge irbeku antha suvar gandu anthidde ivga ninge baididke thika huritha,Offensive_Targeted_Insult_Individual,{'kn': '@ಟ್ರೋಲ್ ಸ್ಟುಪಿಡ್ ಫ್ಯಾನ್ಸ್ ಏನೋ ಹೆಳ್ಕೊಟ್ಟಿಡಲ್ಲ ಅದುನ್ನ ಹೆಲ್ಕೊಡೊ ಮುಂಚೆ ನೀನು ಕಲ್ತೋ ಹೆಂಗೆ ಇರ್ಬೇಕು ಅಂಥ ಸವಾರ್ ಗಂಡು ಅಂತಿದ್ದೆ ಇವಾಗ ನಿಂಗೆ ಬೈದಿದಕೆ ತಿಕ ಹುರಿತ'}
36,tippa yappa supper,Not_offensive,{'kn': 'ಟಿಪ್ಪ ಯಪ್ಪ ಸುಪ್ಪರ್'}
37,Yar guru ninu.....super,Not_offensive,{'kn': 'ಯಾರ್ ಗುರು ನೀನು.....ಸೂಪರ್'}
38,@prithvi nayak nimma Amman tulla suledeepa movie yavdu hit aagide helu recent aagi bandidralli,Offensive_Targeted_Insult_Individual,{'kn': '@ಪೃಥ್ವಿ ನಾಯಕ್ ನಿಮ್ಮ ಅಮ್ಮನ್ ತುಲ್ಲಾ ಸುಳೆದೇಪ ಮೂವಿ ಯಾವ್ದು ಹಿಟ್ ಆಗಿದೆ ಹೇಳು ರಿಸೆಂಟ್ ಆಗಿ ಬಂದಿದ್ರಲ್ಲಿ'}
39,Really nyc sakath chenagi madidira nange esta aythu. Super riii adrallu tiktok dattu putra nna sakath roast madi heltini...,Not_offensive,{'kn': 'ರಿಯಲ್ ನೈಸ್ ಸಕತ್ ಚೆನಾಗಿ ಮಾಡಿದಿರ ನಂಗೆ ಎಸ್ಟ್ ಆಯ್ತು. ಸೂಪರ್ ರೀ ಅದ್ರಲ್ಲೂ ಟಿಕ್ಟಾಕ್ ದತ್ತು ಪುತ್ರ ನ್ನಾ ಸಕತ್ ರೋಸ್ಟ್ ಮಾಡಿ ಹೆಂಟಿನಿ...'}
40,ಪ್ರೀತಿಗೋಸ್ಕರ ಪ್ರಾಣನೆ ಬಿಡ್ತಾರೆ,Offensive_Targeted_Insult_Other,{'kn': 'ಪ್ರೀತಿಗೋಸ್ಕರ ಪ್ರಾಣನೆ ಬಿಡ್ತಾರೆ'}
41,Thank you so much,not-Kannada,{'kn': 'ಥ್ಯಾಂಕ್ ಯುಎ ಸೊ ಮಚ್'}
42,ದೃಷ್ಟಿ ನನ್ನೋಬ್ಬನ ಮೇಲಿಡಿ ತಪ್ಪದು ನಿಜ ಮನರಂಜನೆ film nodo munchene ee song ista adavaru like madi,Not_offensive,{'kn': 'ದೃಷ್ಟಿ ನನ್ನೋಬ್ಬನ ಮೇಲಿಡಿ ತಪ್ಪದು ನಿಜ ಮನರಂಜನೆ ಫಿಲ್ಮ್ ನೋಡೋ ಮುಂಚೇನೆ ಈ ಸಾಂಗ್ ಇಸ್ತ ಅದವರು ಲೈಕ್ ಮಾಡಿ'}
43,Indian no.1 bgm,not-Kannada,{'kn': 'ಇಂಡಿಯನ್ ನೋ.1 ಬೆಜ್'}
44,ಮೆಲ್ಲನೆ ನಶೆ ಎರಿಸೊ ಹಾಡು,Not_offensive,{'kn': 'ಮೆಲ್ಲನೆ ನಶೆ ಎರಿಸೊ ಹಾಡು'}
45,Nimm avvan tull ...kannag en tunni itkond nodi en Randi magagna,Offensive_Targeted_Insult_Group,{'kn': 'ನೀಮ್ ಅವ್ವಾನ್ ಟರ್ ...ಕಣ್ಣಾಗ್ ಏನ್ ತುಣ್ಣಿ ಐಟ್ಕಾಂಡ್ ನೋಡಿ ಏನ್ ರ್ಯಾಂಡಿ ಮಗಗ್ನ'}
46,Nice story accting super prajval devraaj,Not_offensive,{'kn': 'ನೀಸ್ ಸ್ಟೋರಿ ಆಕ್ಟಿಂಗ್ ಸೂಪರ್ ಪ್ರಜ್ವಲ್ ದೇವರಾಜ್'}
47,Bro sorry ond matu nang eetara troll madodu ella ishta agtirlilla first time nimm videos nodi sakkath kushiaytu nd ur video really give a good msg,Not_offensive,{'kn': 'ಬ್ರೋ ಸಾರಿ ಆಂಡ್ ಮತು ನಾಂಗ್ ಈತರ ಟ್ರೋಲ್ ಮಾಡೊದು ಎಲ್ಲಾ ಇಷ್ಟ ಆಗ್ತಿರಲಿಲ್ಲ ಫಸ್ಟ್ ಟೈಮ್ ನೀಮ್ ವಿಡೀಸ್ ನೋಡಿ ಸಕ್ಕತ್ ಕುಷಿಯಾಸ್ತು ಂಡ್ ಔರ್ ವೀಡಿಯೋ ರಿಯಲ್ ಗಿವ್ ಏ ಗುಡ್ ಮಿಎಂಗಿಎನ್'}
48,hindi m bhi daal. do yaaro,not-Kannada,{'kn': 'ಹಿಂದಿ ಎಮ್ ಭಿ ದಾಲ್. ಡೂ ಯಾರೋ'}
49,love you shankar sir ........namage neevu beku sir !!! matte neevu nammanna manaranjane maadi neevu illade iro kannada cinema naanu nodalla sir .....,Not_offensive,{'kn': 'ಲವ್ ಯುಎ ಶಂಕರ್ ಸಾರ್ ........ನಮಗೆ ನೀವು ಬೇಕು ಸಾರ್ !!! ಮತ್ತೆ ನೀವು ನಮ್ಮನ್ನ ಮನರಂಜನೆ ಮಾಡಿ ನೀವು ಇಲ್ಲದೆ ಇರೋ ಕನ್ನಡ ಸಿನಿಮಾ ನಾನು ನೋಡಲ್ಲ ಸಾರ್ .....'}
50,SUPER  R  BOSS,Not_offensive,{'kn': 'ಸೂಪರ್ ರ್ ಬಾಸ್'}
51,ಸಾಹಿತ್ಯ ಓದಿ ಹಾಡು ಕೇಳಿ ಆನಂದಿಸಿ.,Not_offensive,{'kn': 'ಸಾಹಿತ್ಯ ಓದಿ ಹಾಡು ಕೇಳಿ ಆನಂದಿಸಿ.'}
52,ಸೂಪರ್ ಗುರು ನಿಜ,Not_offensive,{'kn': 'ಸೂಪರ್ ಗುರು ನಿಜ'}
53,All industries are going hands up.. 27kke avanu bandaga,Not_offensive,{'kn': 'ಆಲ ಇಂಡಸ್ಟ್ರೀಸ್ ಅರೆ ಗೈಂಗ್ ಹಂದ ಅಪ್.. 27ಕೆಕ್ ಅವನು ಬಂದಾಗ'}
54,Hoooo super guru nin voice bhal superrrr,Not_offensive,{'kn': 'ಹೋ ಸೂಪರ್ ಗುರು ನೀನ್ ವೈಸ್ ಭಾಲ್ ಸೂಪರ್ರ್'}
55,Delete hadru nanu downloade made,Not_offensive,{'kn': 'ದೆಲೆಟ್ ಹದ್ರು ನಾನು ಡೌನ್ಲೋಡ್ ಮಾಡೆ'}
56,ಹಾ ದೇವರು ಒಳ್ಳೆಯವರಿಗೇ ಯಾವಾಗಲೂ ಕಷ್ಟ ಕೋಡದು ಸರ್ ನಿಮಗೇ ಒಳ್ಳೆದಾಗಲ್ಲಿ... ಸರ್..,Not_offensive,{'kn': 'ಹಾ ದೇವರು ಒಳ್ಳೆಯವರಿಗೇ ಯಾವಾಗಲೂ ಕಷ್ಟ ಕೋಡದು ಸರ್ ನಿಮಗೇ ಒಳ್ಳೆದಾಗಲ್ಲಿ... ಸರ್..'}
57,ನಮ್ಮ ಕಾಮೆಂಟ್ ನೋಡಿ ಓದಿದವರ ಸಮಸ್ಯೆಗಳು ಬೇಗ ಪರಿಹಾರವಾಗಲಿ...ಓಂ ನಮೋ ನಾರಯಣಯ ನಮಃ,Not_offensive,{'kn': 'ನಮ್ಮ ಕಾಮೆಂಟ್ ನೋಡಿ ಓದಿದವರ ಸಮಸ್ಯೆಗಳು ಬೇಗ ಪರಿಹಾರವಾಗಲಿ...ಓಂ ನಮೋ ನಾರಯಣಯ ನಮಃ'}
58,ನೈಸ್ ಚಿತ್ರ ಅವನೇ ಶ್ರೀ ಮಾನ್ ನಾರಾಯಣ........ ಸೂಪರ್ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ.......,Not_offensive,{'kn': 'ನೈಸ್ ಚಿತ್ರ ಅವನೇ ಶ್ರೀ ಮಾನ್ ನಾರಾಯಣ........ ಸೂಪರ್ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ.......'}
59,ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,Not_offensive,{'kn': 'ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ'}
60,Malayalis pore,not-Kannada,{'kn': 'ಮಲಯಾಳಿ ಪೊರೆ'}
61,Sir ನಮಸ್ಕಾರ ಕಲಿಯುಗದಲ್ಲಿ ಅಶ್ವತ್ಥಾಮ ಇದ್ದಾರೆ ಅಂತ ಹೇಳಿದರು .ಎಲ್ಲಿ ಇದ್ದಾರೆ  ಅವರು ನಾವು ನೋಡಬಹುದ ನನು ನೊಡಬೇಕು ಅಂತಾ  ಇದೇ ಅಗತ್ತ sir,Not_offensive,{'kn': 'ಸಾರ್ ನಮಸ್ಕಾರ ಕಲಿಯುಗದಲ್ಲಿ ಅಶ್ವತ್ಥಾಮ ಇದ್ದಾರೆ ಅಂತ ಹೇಳಿದರು .ಎಲ್ಲಿ ಇದ್ದಾರೆ ಅವರು ನಾವು ನೋಡಬಹುದ ನನು ನೊಡಬೇಕು ಅಂತಾ ಇದೇ ಅಗತ್ತ ಸಾರ್'}
62,I'm full happy bro 🤣🤣,not-Kannada,"{'kn': ""ಈ'ಎಮ್ ಫುಲ್ ಹ್ಯಾಪಿ ಬ್ರೋ 🤣🤣""}"
63,Rakshit shetty superb,Not_offensive,{'kn': 'ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಸುಪರ್ಬ್'}
64,Darshan Sir swalpa sahaya madidare,Not_offensive,{'kn': 'ದರ್ಶನ್ ಸಾರ್ ಸ್ವಲ್ಪ ಸಹಾಯ ಮಾಡಿದರೆ'}
65,ಮಸ್ತ್ ಇದೆ ಈ ಹಾಡು,Not_offensive,{'kn': 'ಮಸ್ತ್ ಇದೆ ಈ ಹಾಡು'}
66,Super sir namge thumba istavada kathe nam parents ge kelisbeku aadastu bega idanna,Not_offensive,{'kn': 'ಸೂಪರ್ ಸಾರ್ ನಂಜೆ ತುಂಬ ಇಷ್ಟವಾದ ಕತೆ ನಾಮ್ ಪೇರೆಂಟ್ಸ್ ಗೆ ಕೇಳಿಸಬೇಕು ಆದಷ್ಟು ಬೇಗ ಇದನ್ನ'}
67,@RAM jnh MNR ss,not-Kannada,{'kn': '@ರಮ್ ಜ್ಯಾಂ ಮುರ್ ಎಸ್ಸ್'}
68,Barri dabba movie ne unn maado du,Offensive_Targeted_Insult_Group,{'kn': 'ಬ್ಯಾರಿ ಡಬ್ಬ ಮೂವಿ ನೇ ಅನ್ ಮಾಡೋ ಡೂ'}
69,ಪಕ್ಕಾ ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಠಿ ಸೋ ಅವತಾರ,Not_offensive,{'kn': 'ಪಕ್ಕಾ ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಠಿ ಸೋ ಅವತಾರ'}
70,Sir naanu Visakhapatnam li iradhu,Not_offensive,{'kn': 'ಸಾರ್ ನಾನು ವಿಶಾಖಪಟ್ಟಣಂ ಲಿ ಇರದು'}
71,Yar muje ye movie hindi me dekhni hai,not-Kannada,{'kn': 'ಯಾರ್ ಮುಜೆ ಯೇ ಮೂವಿ ಹಿಂದಿ ಮೇ ದೇಖ್ಜಿ ಹೈ'}
72,real life great sir,Not_offensive,{'kn': 'ರಿಯಲ್ ಲೈಫ್ ಗ್ರೇಟ್ ಸಾರ್'}
73,@Manju Sonu  ಅಭಿನಂದನೆ,Not_offensive,{'kn': '@ಮಂಜು ಸೋನು ಅಭಿನಂದನೆ'}
74,Bro hindi language pls,not-Kannada,{'kn': 'ಬ್ರೋ ಹಿಂದಿ ಲ್ಯಾಂಗ್ವೇಜ್ ಪಿಲ್ಸ್'}
75,Ha sanchari vijay waiting to see him,not-Kannada,{'kn': 'ಹಾ ಸಂಚಾರಿ ವಿಜಯ್ ವೈಟಿಂಗ್ ಟೊ ಸೀ ಹಿಂ'}
76,ಆವಾಗಾವಾಗ ಈ ಹಾಡು ಕೇಳಲಿಲ್ಲ ಅಂದ್ರೆ ಏನೋ ಮಿಸ್ ಮಾಡಿದಾಹಾಗೆ ಆಗುತ್ತೆnSlow poison,Not_offensive,{'kn': 'ಆವಾಗಾವಾಗ ಈ ಹಾಡು ಕೇಳಲಿಲ್ಲ ಅಂದ್ರೆ ಏನೋ ಮಿಸ್ ಮಾಡಿದಾಹಾಗೆ ಆಗುತ್ತೆನ್ಯೋಎೋ ಪಾಯಿಸನ್'}
77,Inspired from korean movie Midnight Runners,Not_offensive,{'kn': 'ಇನ್ಸ್ಪಿರೇಡ್ ಫ್ರಮ್ ಕೊರಿಯನ್ ಮೂವಿ ಮೈಡ್ನಿಟ್ ರನ್ನರ್ಸ್'}
78,ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,Not_offensive,{'kn': 'ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ'}
79,gadag our city,not-Kannada,{'kn': 'ಗದಗ ಔರ್ ಸಿಟಿ'}
80,Awsome movie must match movie,Not_offensive,{'kn': 'ಆವಮೋಮ್ ಮೂವಿ ಮಸ್ಟ್ ಮ್ಯಾಚ್ ಮೂವಿ'}
81,Thanks for likes,not-Kannada,{'kn': 'ಥಾಂಕ್ಸ್ ಫೋರ್ ಲೈಕ್ಸ್'}
82,Kannada film  industry avaru sir solpa nodi rii yen madta ididra inta ashvath sir avara maga ondu sanni veshe dalli kalsa Kodi,Not_offensive,{'kn': 'ಕನ್ನಡ ಫಿಲ್ಮ್ ಇಂಡಸ್ಟ್ರಿ ಅವರೂ ಸಾರ್ ಸೋಲ್ಪಾ ನೋಡಿ ರೀ ಏನ್ ಮಾಡ್ತಾ ಇದಿದ್ರ ಇಂತ ಅಶ್ವಥ್ ಸಾರ್ ಅವರ ಮಗ ಒಂದು ಸಣ್ಣಿ ವೇಷೆ ದಲ್ಲಿ ಕಾಲ್ಸಾ ಕೊಡಿ'}
83,Yes Nam ura hudgange mosa Madi hodlu ..amele Nam Karnataka kk avmana madidlu avlige yakadru hode ansbeku,Offensive_Targeted_Insult_Individual,{'kn': 'ಯಸ್ ನಾಮ್ ಊರ ಹುದ್ಗಂಗೆ ಮೋಸ ಮಾಡಿ ಹೋದ್ಳು ..ಆಮೇಲೆ ನಾಮ್ ಕರ್ನಾಟಕ ಕೆಕೆ ಅವಮಾನ ಮಾಡಿದ್ಳು ಅವಲ್ಲಿಗೆ ಯಾಕಾದ್ರು ಹೋದೆ ಅಂಟ್ಬೇಕು'}
84,I hate tiktok mobile thagondagindanu install made illa i hate this,Offensive_Targeted_Insult_Other,{'kn': 'ಈ ಹಾತೆ ಟಿಕ್ಟಾಕ್ ಮೊಬೈಲ್ ತಗೊಂಡಗಿಂದನು ಇನಸ್ನಲ್ ಮಾಡೆ ಎಲ್ಲಾ ಈ ಹಾತೆ ದಿಸ್'}
85,Howdu GurunAdre climax papa,Not_offensive,{'kn': 'ಹೌದು ಗುರುಣಾದ್ರೆ ಕ್ಲಿಮಕ್ಸ್ ಪಾಪ'}
