,tweets,labels
150,ಮೊಸರು ನನ್ನ ಮಗನ ಫಸ್ಟ್ ಟ್ರೋಲ್ ಮಾಡಿ ಬ್ರೋ ಮತ್ತೆ ಈ ಟಿಕ್ ಟಾಕ್ ಸೂಳೆಮಕ್ಕಳು ನ ತಿಕಹೊಡಿ ಬ್ರೋ,0
151,ASN movie na 1st day 1st show nodoru like maadi,0
152,Thanks you sir,5
153,@Gaurish Akki Studio  please all over karnatakadalli 150 theater alli re release maadodakke heli diya movie annu,0
154,Kathe tumba ista aythu..,0
155,ವಿ ಪಿ ಸರ್...,0
156,Hands Upn Tamil Nadu,5
157,Bro super bro amazing speech,5
158,Rashmika haters like madi,1
159,ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,0
160,anna sakatagi matadidya  i like you  anna,0
161,Gentleman sir nevu,0
162,Superb song,5
163,shambhu baligar sir superrrrrrrrrrrrrr,5
164,I love you,5
165,Super song and super dance,5
166,Super lines bro,5
167,Superrrrrrrr  agi heliya Anna tq u so mach video,0
168,ಖಂಡಿತ ಮಾಡೋಣ bro,0
169,ಮೊದಲು ನೀನು ಧರ್ಮದ ಬಾಗೆ ನಿನಗೆಸತು ಗೊತ್ತು ಹೆಲ್ಲು,0
170,ನನಗೆ ಕಾಣುವ ಒಂದೇ ತಪ್ಪು...... publicity ಮಾಡದೇ ಇದ್ದದ್ದು. ....,4
171,U missed duniyaa movie,5
172,One time kelidre average ansatte,0
173,E video na unlike madoru nijavaglu kannads davaru ala,1
174,KGF chaffer 2 beda bare baku,0
175,Innu ide avrige bro super roast,4
176,ಅಪೊಲೊ ಆಸ್ಪತ್ರೆಗೆ ಸೇರಿಸಿದರೆ ಎಲ್ಲ ಸರಿಹೊಗುತ್ತೆ,0
177,Nanage ಅನ್ಸುತ್ತೆ ಈ ವೀಡಿಯೋ ವನ್ನು ರಶ್ಮಿಯ ಮಂದಣ್ಣ ಫ್ಯಾನ್ಸ್ deslike ಮಾಡಿರಬಹುದು,0
178,Karnataka one state but many world,0
179,@Nandi Parthasarathi nanna shanta samana Bollywood Hollywood sulemagne modlu ninna ಮಾತೃಭಾಷೆ ಬೆಳಸು adu yare hero aagli,2
180,Song hosa tara feel kodute,0
181,Prathiyobbara ಜೀವನ Da ಆಸೆಗಳು,0
182,Kakka is ossm lol,0
183,ತುಂಬು ಹೃದಯದ ಶುಭಾಶಯಗಳು ಕನ್ನಡ ಚಿತ್ರರಂಗದ ಅಭಿಮಾನಿಗಳಿಂದ,0
184,@Mithun KUDLA andh Dani!,5
185,Gud job  nim nirdharakke nimma kelasakke Namma gowrava namaskara. kanditha nimge olle role kodo buddi nirdeshakarige  haagu kannda industry ge barabeku...,0
186,Sorry theaters ge bardiddakke....best movie,0
187,ನಮ್ d boss ಶಾಟ ಕ್ಕೂ ಸಮ ಇಲ್ಲಾ...ಮಗನೇ... ಅವುನ್ ಮಾಡಿದ ಫಿಲಂ ಅಷ್ಟು ಎಕ್ಸ್ಪೀರಿಯೆನ್ಸ್ ಆಗಿಲ್ಲ ತುಲ್ಲರೆ ಮಾತಾಡ್ತೀಯಾ ಹಾದರಗಿತ್ತಿ ಮಗನೇ....  lo mari evrella one film madi buildup tagotare... ಅವ್ರು ಫಸ್ಟ್ ಫಿಲಂ ಅಲ್ಲೇ ಕ್ರೇಜ್ ಹುಟ್ಟಿ ಹಾಕಿದವರು.... ಅವ್ರು ಫಸ್ಟ್ ಫಿಲಂ (ಮೆಜೆಸ್ಟಿಕ್ )ಫಿಲಂ ರಿಲೀಸ್ ಆದಾಗ.. ನಿನ್ ತುಣ್ಣಿ ಇನ್ನು ಬಲ್ತು  ಇರ್ಲಿಲ್ಲ ಗೂಬೆ ತುಲ್ಲಿಗೆ ಹುಟ್ಟಿದ್ ಬೋಳಿಮಗನೇ ನಿಮ್ಮ ಅವ್ವ ಸೂಳೆ,1
188,@Entertainment Gaming okkk,5
189,ಚಿತ್ರದ climax ಏ.... ಚಿತ್ರವನ್ನು ಮಂಕಾಗಿಸಿದೆ,1
190,@Ŕävîñđŕå_02_GøWđřú ನೀ ತುಲ್ಯ,2
191,Views got struck,5
192,His a bang bang,5
193,Anjali Devi hi,5
194,ತೂಗರಿ ತಿಪ್ಪ ಉತ್ತರ ಕರ್ನಾಟಕ ಜಾನಪದ ಹಾಸ್ಯಮಯವಾದ ಕಥೆ ತುಂಬಾ ಅದ್ಬುತವಾದದ್ದು,0
195,Swag ka baap Rakshit Shetty..,5
196,@*V C R* guru edunna modlu bale fansge helu avru start madidare nau end madthivi,0
197,Sir.nivu superb sir.,0
198,ನಿಜ ಹೇಳಿದ್ರು ಆದರೆ ಇದರಲ್ಲಿ ಸಬ್ಸ್ಕ್ರೈಬ್ ಇರೋದು ಮೂರು ಲಕ್ಷ  ಆನಂದಾಡಿಯೋದರಲ್ಲಿ ರಿಲೀಸ್ ಮಾಡಿದರೆ ಒಡೆಯ ಸಾಂಗ್ ಮೀರಿಸಿತಿತ್ತು,0
199,Sar super song,5
200,ನಿಜಕೂ ಈದು ಆಚರಿನೇ🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤥🤥🤥🤓🤡🤡🤡🤠🤠🤠,4
201,E mathu,0
202,Day ge 600K+ Views nEn haavli Guru,0
203,@TROLL MONSTER_KANNADA nim Amman kalsu thoristhini,2
204,signature step is ultimate,5
205,ಇಲ್ಲಿಂದ ನಿಮ್ಮ ವಿಜಯ ಯಾತ್ರೆ ಪ್ರಜ್ವಲಿಸಲಿ,0
206,Elru nodle bekadaa video..,0
207,@citizen408 ok bro,5
208,Ondu trailer cut madak saryag baralla.trailet nodokke kasta agthide,1
209,@TROLL MONSTER_KANNADA nim ammange nan hakde tunne nathangi siktale avl na vrdashramkke serstini yakandre ninge nodkollake yogyate illa adukkehogo jumper( chupper),2
210,So 374 jana rashmika fans music video nodidare illi ವರಗೆ.,0
211,ವಿಡಿಯೋ ಇದೆಯಾ ತೊಗರಿ ತಿಪ್ಪ,0
212,ಕೌಶಲ್ಯ ಇದ್ದವರ ಸಂಖ್ಯೆ ಕಡಿಮೆ ಇಲ್ಲ ಸರ್ ತುಂಬಾ ಪ್ರತಿಭಾವಂತರಿದ್ದಾರೆ.... influence ಪವರ್ ತುಂಬಾ ಇದೆ ನಮ್ಮ ದೇಶದಲ್ಲಿ influence ಇಲ್ಲ ಅಂದ್ರೆ ಯಾವನು ಮೂಸಿ ಕೂಡ ನೋಡಲ್ಲ ನಮ್ಮ ದೇಶದಲ್ಲಿ....ಅದಕ್ಕೆ ಕೌಶಲ್ಯ ಇದ್ದೋರಿಗೆ ಕೆಲಸ ಸಿಗ್ತಿಲ್ಲ.....,1
213,ಕನ್ನಡ ನಾಡಿನ ಕೀರ್ತಿ ಜಗತ್ತಿನೆಲ್ಲೆಡೆ ಹರಡಲಿ ಅಂತ ಬಯಸುತ್ತೇನೆ,0
214,Thankz bro troll alla bro Roast,0
215,Nav gottala d boss fans,0
216,Yes re release madbeku,0
217,Hands up super song,5
218,Boring song .....astu power illa....not like KGF,1
219,@Sweekar Gowdaadyaru badavarige Uta sigtilla ande yallo nAa place n mobile number kalsu nNim mane hatra tane,2
220,Sakath beats..Matte Matte kelabeku anno song..,0
221,ಸೂಪರ್ story kannada savira,0
222,ದಿನಕ್ಕೆ ಹತ್ತು ಗಿಂತ ಎಚ್ಚಗಿ ನೋಡ್ತಾ ಇದೀನಿ ಮಸ್ತ್ ಇದೆ ಬ್ಯಾಗ್ರೌಂಡ್ ಮ್ಯೂಸಿಕ್ ಚಿಂದಿ ಚಿತ್ರಾನ್ನ,0
223,Mahesh. Sanagoudar. Bhagojikoppa,0
224,ಆ ನೂರ ಕೋಟಿ ಭಾರತಕ್ಕೆ ಅಲ್ಲ ಇಡಿ ವಿಶ್ವಕ್ಕೆ,0
225,Waiting for the film.....ನೋಡಲು ಕಾತುರನಾಗಿದ್ದೇನೆ,0
226,Next leval movie in prajval,5
227,Super making super cinematography,0
228,Guru same feeling...,5
229,Pap pabap pap pabapabapap!nTin ti din tin tiditididinnRead in a flownnADDITCTED,5
230,guru despande olle director kate na channagi toeisutare,0
231,@AJITH S SHETTY nanu karthik shetty manglurininda,0
232,I think Sanskrit?,5
233,S super chamayya mestre nimma valletana,0
234,Every day i am listening,0
235,Appu boss kade enda.    Asn.  Movie ge.  Full support edhe,0
236,Amazed Amazing Amazefull,0
237,ಸೂಪರ್ ಕಾಮಿಡಿ ಸ್ಪೀಚ್ ಬ್ರದರ್,0
238,ಸಿನಿಮಾದಲ್ಲಿ ಐದಾರು ಹಾಡುಗಳು ಇಡುವ ಕಾಲದಲ್ಲಿ  ಈಡಿ ಸಿನಿಮಾದ ಕಥೆ ಒಂದು ಹಾಡಿನಲ್ಲಿ   ಆಡಗಿದೆ ಯಾರೆಲ್ಲ ಆ ಹಾಡಿಗೆ ಕಾಯುತ್ತಿದಿರ?....,0
239,Super movi yallru nodi tumbba tumbba istavada movi,0
240,Waiting  ASN,5
241,India kudda Munde baruthe But late....navella Odmele,0
242,ಅವಾಗ  ಕಬ್ಜ. ದರ್ಶನ. ಇವ್ರೆಲ್ಲಾ ಬಂದು  ಕೆಡವಕ್ತಾರೆ.,1
243,12 dislikes by gandu nanmakalu,3
244,Ta bro your ginias,5
245,ರಾಜವಂಶದ ಅಭಿಮಾನಿಗಳು ಕಡೆ ಇಂದ all the best ...,0
246,Tik tok vade gala,5
247,Le tukali like dislike janakke bittaddu,1
248,Nyc bro,5
249,Ayyo guru... Yelli tanka jana moodnambke bidalvo alli tanka inta shatnayakru useless videos haktane irrtare guru.nMahabharata tumba olle moral story. Jeevanakke bekagiro tumba paata ide idralli. Adunella use madkondu olle jeevna madbeku aste.,4
250,ತುಂಬಾ ಅದ್ಭುತ ಕತೆ,0
251,ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,0
252,Bossu Bgm dance,5
253,ತೊಗರಿ  ತಿಪ್ಪ  ಸುಪರ್  ಕಾಮಿಡಿ,0
254,@prithvi nayak ಅದಿಕ್ಕೆ ನಿಮ್ಮ ಲುಚ್ಚಾ ಹೆಂಡ್ತಿ ಮೇಲೆ ಅನುಮಾನ ಪಟ್ಟು ಡೈವರ್ಸ್ ಮಾಡೋಕೆ ಹೋಗಿದ್ದ ಯಾರೋ ಬುದ್ದಿ ಹೇಳಿದರೆ... ಗಂಡರ ಗಂಡ ಜಗ ಮಿಂಡ ನಿಮ್ಮ ಕಾಮಣ್ಣ... ಲುಚ್ಚಾ ಬಳೆಗಾರ,2
255,@Dhee Pu Lo goobe rama. Artha iro hage enadru helodidre helu. Sumne tirukalandi thara koribeda.... Madu annodu kriyapada anta nanagoo gottu. Adre 'madu' annodara jote ondu namapada irbeku. Agle vakya sampoornavagodu. kelasa mdu,2
256,ರೀಮೇಕ್ ಮೂವಿ....ಇರ್ಬೇಕು ತಮಿಳ್ ವಿಶಾಲ್ ದು ಅಲ್ವಾ,4
257,Rashmika Thu..l.l.i irve ankoavro ondu like,2
258,Kannada super song,0
259,Jai d boss appu,0
260,Lo gube don't compare anyone yellaru namma kannada super star,2
261,@Chandra kanth naa siggappu manithan,5
262,ಉರ್ಸೋಕೆ ನಿಂತ್ರೆ ಕನ್ನಡದವರು ಚರಿತ್ರೆ ಬರೀತಾರೆ ಅಂತ ಗೊತ್ತಾಗಲಿ.. ಕೆಲವು ಕಿಡಿಗೇಡಿಗಳಿಗೆ..,1
263,Bro Game yavdu Adu,0
264,ತುಂಬಾ ಖುಷಿಯಾಯಿತು ಕೇಳಿ,0
265,@kannadigaru S uh,0
266,38 M,5
267,ಸರಿ ಬುಡ್ಲ ಅಣ್ತಮ್ಮ,0
268,ಸೂಪರ್ ಹಾಡು ಎಲ್ಲ ಕನ್ನಡದ ಅಭಿಮಾನಿಗಳಿಂದ ಸಿನಿಮಾ ತಂಡಕ್ಕೆ ಆಲ್ ದಿ ಬೆಸ್ಟ್,0
269,Well msg guru,0
270,Rakshith shetti luck like shankarnag,2
271,Hindi song bittilva?,0
272,Super creative kannadiga,0
273,ಓಳ್ಳೆ ಕಥೆ ಬಹಳ ವರ್ಷ ಆಗಿತ್ತು ಕೇಳಿ,0
274,Super movie super songs,0
275,Idhu charitre srushtisuva avataara......,0
276,ಏನ್ ಸಾಂಗ್ ಗುರು ಮಸ್ತ್...,0
277,ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,0
278,Super trailer praju Anna,0
279,ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸಲಿ...ಕನ್ನಡದ ಹವಾ ಬಹಳ ಜೋರಾಗಿದೆ ಭಾರತೀಯ ಚಿತ್ರರಂಗದಲ್ಲಿ...ಹೆಮ್ಮೆಯ ವಿಷಯ..ನಮ್ಮೆಲ್ಲರಿಗೂ,0
280,Hands up🤩n#yuvarathnaa update on December 31stjai #drrajkumar,5
